OpenROAD v2.0-17941-g7fb347f37 
Features included (+) or not (-): +GPU +GUI +Python
This program is licensed under the BSD-3 license. See the LICENSE file for details.
Components of this program may be licensed under more restrictive licenses which must be honored.
[INFO ORD-0030] Using 16 thread(s).
clock_tree_synthesis -sink_clustering_enable -balance_levels
[INFO CTS-0050] Root buffer is CLKBUF_X3.
[INFO CTS-0051] Sink buffer is CLKBUF_X3.
[INFO CTS-0052] The following clock buffers will be used for CTS:
                    CLKBUF_X3
[INFO CTS-0049] Characterization buffer is CLKBUF_X3.
[INFO CTS-0007] Net "clk" found for clock "core_clock".
[INFO CTS-0010]  Clock net "clk" has 35 sinks.
[INFO CTS-0008] TritonCTS found 1 clock nets.
[INFO CTS-0097] Characterization used 1 buffer(s) types.
[INFO CTS-0200] 0 placement blockages have been identified.
[INFO CTS-0201] 0 placed hard macros will be treated like blockages.
[INFO CTS-0027] Generating H-Tree topology for net clk.
[INFO CTS-0028]  Total number of sinks: 35.
[INFO CTS-0090]  Sinks will be clustered based on buffer max cap.
[INFO CTS-0030]  Number of static layers: 0.
[INFO CTS-0020]  Wire segment unit: 14000  dbu (7 um).
[INFO CTS-0023]  Original sink region: [(7410, 7170), (74290, 71260)].
[INFO CTS-0024]  Normalized sink region: [(0.529286, 0.512143), (5.30643, 5.09)].
[INFO CTS-0025]     Width:  4.7771.
[INFO CTS-0026]     Height: 4.5779.
 Level 1
    Direction: Horizontal
    Sinks per sub-region: 18
    Sub-region size: 2.3886 X 4.5779
[INFO CTS-0034]     Segment length (rounded): 1.
 Level 2
    Direction: Vertical
    Sinks per sub-region: 9
    Sub-region size: 2.3886 X 2.2889
[INFO CTS-0034]     Segment length (rounded): 1.
[INFO CTS-0032]  Stop criterion found. Max number of sinks is 15.
[INFO CTS-0035]  Number of sinks covered: 35.
[INFO CTS-0018]     Created 5 clock buffers.
[INFO CTS-0012]     Minimum number of buffers in the clock path: 2.
[INFO CTS-0013]     Maximum number of buffers in the clock path: 2.
[INFO CTS-0015]     Created 5 clock nets.
[INFO CTS-0016]     Fanout distribution for the current clock = 6:1, 8:1, 9:1, 12:1..
[INFO CTS-0017]     Max level of the clock tree: 2.
[INFO CTS-0098] Clock net "clk"
[INFO CTS-0099]  Sinks 38
[INFO CTS-0100]  Leaf buffers 0
[INFO CTS-0101]  Average sink wire length 58.49 um
[INFO CTS-0102]  Path depth 2 - 2
[INFO CTS-0207]  Leaf load cells 3
[INFO RSZ-0058] Using max wire length 640um.
Placement Analysis
---------------------------------
total displacement         12.6 u
average displacement        0.0 u
max displacement            1.8 u
original HPWL            3065.2 u
legalized HPWL           3153.6 u
delta HPWL                    3 %

repair_timing -verbose -setup_margin 0 -hold_margin 0 -repair_tns 100
[INFO RSZ-0094] Found 35 endpoints with setup violations.
[INFO RSZ-0099] Repairing 35 out of 35 (100.00%) violating endpoints...
   Iter   | Removed | Resized | Inserted | Cloned |  Pin  |    WNS   |   TNS      |  Viol  | Worst
          | Buffers |  Gates  | Buffers  |  Gates | Swaps |          |            | Endpts | Endpt
---------------------------------------------------------------------------------------------------
        0 |       0 |       0 |        0 |      0 |     0 |   -0.086 |       -1.1 |     35 | resp_msg[11]
       10 |       0 |       9 |        0 |      0 |     0 |   -0.075 |       -0.7 |     35 | resp_msg[11]
       20 |       0 |      16 |        4 |      0 |     1 |   -0.065 |       -0.6 |     35 | resp_msg[15]
       30 |       0 |      25 |        4 |      0 |     2 |   -0.066 |       -0.5 |     35 | resp_msg[11]
       40 |       0 |      35 |        4 |      0 |     2 |   -0.060 |       -0.5 |     35 | resp_msg[15]
       50 |       0 |      43 |        8 |      0 |     2 |   -0.056 |       -0.5 |     35 | resp_msg[15]
       60 |       0 |      49 |       18 |      0 |     2 |   -0.056 |       -0.5 |     35 | resp_msg[15]
       70 |       0 |      55 |       23 |      0 |     4 |   -0.068 |       -0.5 |     35 | resp_msg[13]
       80 |       0 |      64 |       25 |      0 |     4 |   -0.054 |       -0.6 |     35 | resp_msg[13]
       90 |       0 |      73 |       25 |      0 |     5 |   -0.058 |       -0.6 |     35 | resp_msg[15]
      100 |       0 |      81 |       25 |      0 |     7 |   -0.058 |       -0.6 |     35 | resp_msg[13]
      101 |       0 |      61 |       22 |      0 |     3 |   -0.052 |       -0.4 |     35 | resp_msg[15]
      110 |       0 |      68 |       25 |      0 |     3 |   -0.055 |       -0.4 |     35 | resp_msg[13]
      120 |       0 |      75 |       32 |      0 |     3 |   -0.057 |       -0.5 |     35 | resp_msg[13]
      130 |       0 |      83 |       34 |      0 |     4 |   -0.056 |       -0.5 |     35 | resp_msg[13]
      140 |       0 |      90 |       40 |      0 |     4 |   -0.056 |       -0.5 |     35 | resp_msg[13]
      150 |       0 |      97 |       42 |      0 |     6 |   -0.056 |       -0.5 |     35 | resp_msg[13]
      152 |       0 |      69 |       31 |      0 |     3 |   -0.052 |       -0.4 |     35 | resp_msg[15]
      160 |       0 |      74 |       34 |      0 |     4 |   -0.062 |       -0.5 |     35 | resp_msg[15]
      170 |       0 |      83 |       36 |      0 |     4 |   -0.057 |       -0.5 |     35 | resp_msg[15]
      180 |       0 |      93 |       36 |      0 |     4 |   -0.065 |       -0.6 |     35 | resp_msg[15]
      183 |       0 |      76 |       33 |      0 |     3 |   -0.052 |       -0.4 |     35 | resp_msg[15]
      190 |       0 |      79 |       37 |      0 |     4 |   -0.053 |       -0.4 |     35 | resp_msg[15]
      200 |       0 |      85 |       43 |      0 |     5 |   -0.052 |       -0.4 |     35 | resp_msg[15]
      210 |       0 |      90 |       47 |      0 |     8 |   -0.052 |       -0.4 |     35 | resp_msg[10]
      220 |       0 |      97 |       53 |      0 |     8 |   -0.052 |       -0.4 |     35 | resp_msg[15]
      230 |       0 |     103 |       55 |      0 |    11 |   -0.052 |       -0.4 |     35 | resp_msg[15]
      240 |       0 |     110 |       57 |      0 |    13 |   -0.058 |       -0.4 |     35 | resp_msg[15]
      241 |       0 |     104 |       57 |      0 |    11 |   -0.052 |       -0.4 |     35 | resp_msg[15]
      250 |       0 |     109 |       59 |      0 |    13 |   -0.053 |       -0.4 |     35 | resp_msg[11]
      260 |       0 |     116 |       59 |      0 |    16 |   -0.053 |       -0.4 |     35 | resp_msg[11]
      264 |       0 |     112 |       58 |      0 |    11 |   -0.052 |       -0.4 |     35 | resp_msg[15]
      270 |       0 |     117 |       58 |      0 |    11 |   -0.058 |       -0.4 |     35 | resp_msg[15]
      280 |       0 |     125 |       62 |      0 |    11 |   -0.052 |       -0.4 |     35 | resp_msg[15]
      288 |       0 |     118 |       61 |      0 |    11 |   -0.052 |       -0.4 |     35 | resp_msg[15]
      290 |       0 |     119 |       61 |      0 |    11 |   -0.052 |       -0.4 |     35 | resp_msg[15]
      300 |       0 |     127 |       63 |      0 |    12 |   -0.052 |       -0.4 |     35 | resp_msg[15]
      310 |       0 |     137 |       63 |      0 |    12 |   -0.054 |       -0.4 |     35 | resp_msg[15]
      320 |       0 |     146 |       63 |      0 |    13 |   -0.056 |       -0.4 |     35 | resp_msg[15]
      330 |       0 |     154 |       66 |      0 |    14 |   -0.067 |       -0.4 |     35 | resp_msg[15]
      340 |       0 |     160 |       73 |      0 |    15 |   -0.073 |       -0.4 |     35 | resp_msg[15]
      350 |       0 |     167 |       78 |      0 |    16 |   -0.065 |       -0.4 |     35 | resp_msg[15]
      350 |       0 |     138 |       69 |      0 |    12 |   -0.052 |       -0.4 |     35 | resp_msg[15]
      360 |       0 |     146 |       71 |      0 |    12 |   -0.057 |       -0.4 |     35 | resp_msg[15]
      370 |       1 |     152 |       73 |      0 |    14 |   -0.052 |       -0.4 |     35 | resp_msg[15]
      380 |       1 |     157 |       77 |      0 |    17 |   -0.052 |       -0.4 |     35 | resp_msg[15]
